Name,Tons Delivered,Tons Sold,Method,CDR_Link
Terradot,0,301 998,Enhanced Weathering,https://www.cdr.fyi/supplier/terradot
Banyu Carbon,0,360,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/banyu-carbon
Carbon Limit,0,68,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carbon-limit
Arukah,0,56 604,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/arukah
DarkBlack Carbon,0,8,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/rpbpalmer
Sustaera,0,5 959,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/sustaera
Nellie Technologies,0,17 500,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/nellie-technologies
Carbo Kollerup,0,600,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbokollerup
Mission Zero,0,866,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/mission-zero
AtmosClear,0,6 750 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/atmosclear
Pull To Refresh,0,1,Marine Biomass Sinking,https://www.cdr.fyi/supplier/pull-to-refresh
The Carbon Removers,0,3 498,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/the-carbon-removers
Alt Carbon,0,21 851,Enhanced Weathering,https://www.cdr.fyi/supplier/alt-carbon
Heimdal,0,30,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/heimdal
RepAir,0,199,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/repair
Bio-Logical,0,12 633,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bio-logical
Carbon To Stone,0,1 444,Enhanced Weathering,https://www.cdr.fyi/supplier/carbon-to-stone
Restord Ltd,0,50,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restord
Tambora Carbon Removal,0,4 440,Enhanced Weathering,https://www.cdr.fyi/supplier/tambora
Capture6,0,1 063,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/capture6
Seaweed Generation,0,0,Marine Biomass Sinking,https://www.cdr.fyi/supplier/seaweed-generation
Hafslund Celsio,0,99 998,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/hafslund-celsio
Towing,0,210,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/towing
Inherit Carbon Solutions,0,68 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/inherit-carbon-solutions
BioCirc,0,1 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/biocirc
Carbonity,0,36 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbonity
Silica,0,1 266,Enhanced Weathering,https://www.cdr.fyi/supplier/silica
CREW,0,72 492,Enhanced Weathering,https://www.cdr.fyi/supplier/crew
Ebb Carbon,0,1 589,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/ebb
280 Earth,0,61 571,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/280-earth
ARC,0,90,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/arc
Calcite by 8 Rivers Capital & Origen,0,278,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/calcite-origen
CarbonBlue,0,400,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/carbonblue
Travertine,0,365,Enhanced Weathering,https://www.cdr.fyi/supplier/travertine
Gigablue,0,200 000,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/gigablue
Carba,0,44 000,Biomass Direct Storage,https://www.cdr.fyi/supplier/carba
